VF,LCD (Å),PLD (Å),SA (m2/g ),Pressure (Pa),Adsorption (cm3 STP/gr)
0.8648,20.246,8.58384,5368.02,1000000,116.7404623
0.8648,20.246,8.58384,5368.02,5000000,466.6282912
0.8648,20.246,8.58384,5368.02,10000000,676.556882
0.9392,42.7982,24.2406,6405.57,1,0.000258391
0.9392,42.7982,24.2406,6405.57,5000,0.820722084
0.9392,42.7982,24.2406,6405.57,50000,8.111841186
0.9392,42.7982,24.2406,6405.57,100000,16.11833337
0.9392,42.7982,24.2406,6405.57,500000,78.20836107
0.9392,42.7982,24.2406,6405.57,1000000,154.1968172
0.9392,42.7982,24.2406,6405.57,5000000,699.1789013
0.9392,42.7982,24.2406,6405.57,10000000,1209.135234
0.742,13.3702,12.1012,3450.5,1,0.000159272
0.742,13.3702,12.1012,3450.5,5000,1.0784429
0.742,13.3702,12.1012,3450.5,50000,10.44895286
0.742,13.3702,12.1012,3450.5,100000,20.29614283
0.742,13.3702,12.1012,3450.5,500000,81.27651766
0.742,13.3702,12.1012,3450.5,1000000,133.0538547
0.742,13.3702,12.1012,3450.5,5000000,297.9097315
0.742,13.3702,12.1012,3450.5,10000000,366.8027838
0.655,10.5466,10.4574,1532.3,1,0.000146359
0.655,10.5466,10.4574,1532.3,5000,0.669205579
0.655,10.5466,10.4574,1532.3,50000,6.590764835
0.655,10.5466,10.4574,1532.3,100000,13.01396341
0.655,10.5466,10.4574,1532.3,500000,53.9197244
0.655,10.5466,10.4574,1532.3,1000000,88.60403905
0.655,10.5466,10.4574,1532.3,5000000,169.3220733
0.655,10.5466,10.4574,1532.3,10000000,194.4351167
0.6056,10.3256,10.2098,946.742,1,4.80E-05
0.6056,10.3256,10.2098,946.742,5000,0.297074299
0.6056,10.3256,10.2098,946.742,50000,2.937126193
0.6056,10.3256,10.2098,946.742,100000,5.83426925
0.6056,10.3256,10.2098,946.742,500000,26.16176212
0.6056,10.3256,10.2098,946.742,1000000,46.37125505
0.6056,10.3256,10.2098,946.742,5000000,100.00634
0.6056,10.3256,10.2098,946.742,10000000,117.1940114
0.6368,6.64209,5.02845,3141.59,1,0.000759482
0.6368,6.64209,5.02845,3141.59,5000,3.981910248
0.6368,6.64209,5.02845,3141.59,50000,35.19199156
0.6368,6.64209,5.02845,3141.59,100000,64.13602837
0.6368,6.64209,5.02845,3141.59,500000,167.8296501
0.6368,6.64209,5.02845,3141.59,1000000,206.7213293
0.6368,6.64209,5.02845,3141.59,5000000,261.3702287
0.6368,6.64209,5.02845,3141.59,10000000,277.3008595
0.7656,16.1767,10.5086,2157.11,1,8.99E-05
0.7656,16.1767,10.5086,2157.11,5000,0.611654752
0.7656,16.1767,10.5086,2157.11,50000,6.01480946
0.7656,16.1767,10.5086,2157.11,100000,11.65704263
0.7656,16.1767,10.5086,2157.11,500000,47.47768982
0.7656,16.1767,10.5086,2157.11,1000000,80.98526422
0.7656,16.1767,10.5086,2157.11,5000000,215.4948982
0.7656,16.1767,10.5086,2157.11,10000000,275.7375129
0.5544,7.75357,4.72091,1461.22,1,0.000562942
0.5544,7.75357,4.72091,1461.22,5000,2.749037066
0.5544,7.75357,4.72091,1461.22,50000,20.13772476
0.5544,7.75357,4.72091,1461.22,100000,32.89833768
0.5544,7.75357,4.72091,1461.22,500000,76.00124964
0.5544,7.75357,4.72091,1461.22,1000000,98.71259798
0.5544,7.75357,4.72091,1461.22,5000000,146.0879823
0.5544,7.75357,4.72091,1461.22,10000000,160.554171
0.7082,6.17717,5.82599,4307.06,1,0.000463804
0.7082,6.17717,5.82599,4307.06,5000,2.0575484
0.7082,6.17717,5.82599,4307.06,50000,20.24102804
0.7082,6.17717,5.82599,4307.06,100000,38.67426907
0.7082,6.17717,5.82599,4307.06,500000,148.9861868
0.7082,6.17717,5.82599,4307.06,1000000,216.282416
0.7082,6.17717,5.82599,4307.06,5000000,324.8601065
0.7082,6.17717,5.82599,4307.06,10000000,352.9352941
0.7088,14.739,5.12647,2796.6,1,0.000200025
0.7088,14.739,5.12647,2796.6,5000,1.021468777
0.7088,14.739,5.12647,2796.6,50000,10.09632769
0.7088,14.739,5.12647,2796.6,100000,19.87462902
0.7088,14.739,5.12647,2796.6,500000,84.13744466
0.7088,14.739,5.12647,2796.6,1000000,139.6944752
0.7088,14.739,5.12647,2796.6,5000000,272.4165139
0.7088,14.739,5.12647,2796.6,10000000,314.1495485
0.815,13.7968,9.90606,3871.6,1,0.00010803
0.815,13.7968,9.90606,3871.6,5000,0.663528399
0.815,13.7968,9.90606,3871.6,50000,6.606694887
0.815,13.7968,9.90606,3871.6,100000,13.19029569
0.815,13.7968,9.90606,3871.6,500000,63.04690891
0.815,13.7968,9.90606,3871.6,1000000,121.924578
0.815,13.7968,9.90606,3871.6,5000000,368.284304
0.815,13.7968,9.90606,3871.6,10000000,465.3153997
0.5534,10.8725,9.01928,696.781,1,3.77E-05
0.5534,10.8725,9.01928,696.781,5000,0.153624257
0.5534,10.8725,9.01928,696.781,50000,1.513447943
0.5534,10.8725,9.01928,696.781,100000,3.009832431
0.5534,10.8725,9.01928,696.781,500000,13.83141736
0.5534,10.8725,9.01928,696.781,1000000,25.74113539
0.5534,10.8725,9.01928,696.781,5000000,69.95795626
0.5534,10.8725,9.01928,696.781,10000000,86.49335894
0.9064,21.7232,20.9879,4539.4,1,0.000144475
0.9064,21.7232,20.9879,4539.4,5000,0.404590839
0.9064,21.7232,20.9879,4539.4,50000,4.03256523
0.9064,21.7232,20.9879,4539.4,100000,8.062257148
0.9064,21.7232,20.9879,4539.4,500000,37.89872149
0.9064,21.7232,20.9879,4539.4,1000000,74.61674162
0.9064,21.7232,20.9879,4539.4,5000000,322.3526589
0.9064,21.7232,20.9879,4539.4,10000000,543.2458698
0.8984,18.5744,17.5567,4541.16,1,0.000102653
0.8984,18.5744,17.5567,4541.16,5000,0.396175727
0.8984,18.5744,17.5567,4541.16,50000,3.94319869
0.8984,18.5744,17.5567,4541.16,100000,7.85010852
0.8984,18.5744,17.5567,4541.16,500000,37.76227991
0.8984,18.5744,17.5567,4541.16,1000000,73.83811767
0.8984,18.5744,17.5567,4541.16,5000000,317.512303
0.8984,18.5744,17.5567,4541.16,10000000,530.3880234
0.7246,13.3117,8.62623,3760.71,1,0.000217012
0.7246,13.3117,8.62623,3760.71,5000,1.169647261
0.7246,13.3117,8.62623,3760.71,50000,11.27259342
